강남구 외식업 상권 현황,일반 점포,프렌차이즈,전체,매출액(억)
18_1,10422,2377,12799,3551
18_2,10472,2377,12849,3688
18_3,10443,2334,12777,3679
18_4,10497,2329,12826,4219
19_1,10315,2497,12812,2076
19_2,10451,2517,12968,2157
19_3,10551,2489,13040,2221
19_4,10671,2484,13155,2443
20_1,10620,2466,13086,2052
20_2,10737,2476,13213,2182
20_3,10914,2451,13365,2184
20_4,10961,2432,13393,2053
21_1,11060,2428,13488,1938
21_2,11207,2401,13608,2344
21_3,11307,2389,13696,2011
21_4,11502,2383,13885,2750
22_1,11507,2347,13854,2334
22_2,11709,2356,14065,3261
22_3,11641,2318,13959,3340
22_4,11675,2314,13989,3591
23_1,11642,2289,13931,3489
23_2,11744,2278,14022,3435
